Station Name,Zip
103 ST,
116 ST,
125 st,10035
14 st,10011
14th st Union Sq,10003
145 ST,
161/YANKEE STAD,
23 st,10001
33 ST,
34 st Herald Sq,10001
34 st Penn Sta,10123
42 ST-BRYANT PK,
42 st Port Authority,10036
47-50 sts rock,10020
50 st,10019
57 ST-7 AV,
59 ST,
59 st Columbus sq,10023
7 AV,
72 st,10021
8 AV,
86 st,10028
96 st,10029
Atl av-barclay,11217
BOROUGH HALL,
Canal st,10013
Chamber st,10013
CHURCH AV,
DEKALB AV,
Flushing-main,11354
Fulton st,10038
Grand Central 42 st,10017
JAMAICA CENTER,
Jay st-metrotec,11201
Jksn ht-roosvlt,11372
LEXINGTON AV/53,
Path new wtc,10007
Times Sq 42nd st,10018
W 4 st-wash sq,10012
WALL ST,
