zip,lat_long,population,avg_age
10170,"40.752625, -73.975877",1,49.5
10171,"40.755899, -73.973858",1,48.5
10022,"40.758615, -73.967752","30,642",45.5
10044,"40.762050, -73.949933","9,520",41
10162,"40.769298, -73.949942","1,726",41
10021,"40.769742, -73.961653","102,078",39.9
10037,"40.813159, -73.937352","16,984",39.8
10013,"40.720067, -74.004829","25,042",38.9
10024,"40.786307, -73.970694","61,414",38.9
10011,"40.741844, -74.000711","46,669",38.5
10023,"40.775394, -73.982197","62,206",38.3
10028,"40.776865, -73.954721","44,987",38.3
10017,"40.752292, -73.972393","16,201",38
10036,"40.759614, -73.991148","18,751",37.9
10010,"40.739122, -73.982363","26,408",37.6
10014,"40.733471, -74.007098","32,667",37.2
10019,"40.766331, -73.985013","36,012",37
10002,"40.715952, -73.985870","84,870",36.9
10025,"40.797958, -73.964917","97,086",36.9
10001,"40.750722, -73.997276","17,310",36.4
10280,"40.708501, -74.016828","6,614",36.1
10009,"40.726622, -73.978955","58,595",36
10128,"40.781656, -73.950281","59,856",35.6
10038,"40.709336, -74.002943","15,574",35.2
10016,"40.744983, -73.978262","51,217",34.9
10012,"40.725639, -73.998090","26,000",34.6
10004,"40.691870, -74.014109","1,225",34.4
10007,"40.713973, -74.008336","3,522",34.4
10003,"40.731856, -73.989145","53,673",33.7
10018,"40.754969, -73.992126","4,255",33.7
10040,"40.858134, -73.929031","46,599",32.9
10069,"40.775551, -73.989689","1,403",32.7
10033,"40.849124, -73.935956","58,259",32.6
10035,"40.795487, -73.929501","32,702",32.4
10039,"40.826296, -73.937053","21,737",32.3
10031,"40.825857, -73.949451","60,221",32.3
10030,"40.818492, -73.943283","25,847",32.2
10034,"40.869208, -73.921929","41,756",32.1
10282,"40.717017, -74.015566","1,574",32
10026,"40.802320, -73.952943","30,377",32
10032,"40.839194, -73.942591","63,842",32
10006,"40.707970, -74.013610","1,447",31.9
10029,"40.792245, -73.945230","75,390",31.1
10027,"40.811407, -73.953564","56,168",30.9
10020,"40.758236, -73.978833",1,28.5
10005,"40.705390, -74.008988",884,28.3
10165,"40.752131, -73.978722",7,23.8
10048,"40.711665, -74.012417",55,21.3
