zip,lat_long,population,f_m_ratio
10048,"40.711665, -74.012417",55,3.23
10037,"40.813159, -73.937352","16,984",1.42
10021,"40.769742, -73.961653","102,078",1.28
10039,"40.826296, -73.937053","21,737",1.27
10162,"40.769298, -73.949942","1,726",1.22
10028,"40.776865, -73.954721","44,987",1.21
10017,"40.752292, -73.972393","16,201",1.21
10128,"40.781656, -73.950281","59,856",1.2
10022,"40.758615, -73.967752","30,642",1.19
10030,"40.818492, -73.943283","25,847",1.19
10010,"40.739122, -73.982363","26,408",1.19
10038,"40.709336, -74.002943","15,574",1.18
10040,"40.858134, -73.929031","46,599",1.16
10029,"40.792245, -73.945230","75,390",1.15
10025,"40.797958, -73.964917","97,086",1.14
10034,"40.869208, -73.921929","41,756",1.14
10016,"40.744983, -73.978262","51,217",1.14
10009,"40.726622, -73.978955","58,595",1.14
10024,"40.786307, -73.970694","61,414",1.14
10023,"40.775394, -73.982197","62,206",1.13
10069,"40.775551, -73.989689","1,403",1.13
10026,"40.802320, -73.952943","30,377",1.12
10044,"40.762050, -73.949933","9,520",1.11
10027,"40.811407, -73.953564","56,168",1.1
10032,"40.839194, -73.942591","63,842",1.09
10001,"40.750722, -73.997276","17,310",1.08
10031,"40.825857, -73.949451","60,221",1.07
10003,"40.731856, -73.989145","53,673",1.06
10033,"40.849124, -73.935956","58,259",1.06
10002,"40.715952, -73.985870","84,870",1.02
10035,"40.795487, -73.929501","32,702",1.02
10012,"40.725639, -73.998090","26,000",1
10280,"40.708501, -74.016828","6,614",0.99
10019,"40.766331, -73.985013","36,012",0.98
10013,"40.720067, -74.004829","25,042",0.95
10014,"40.733471, -74.007098","32,667",0.94
10011,"40.741844, -74.000711","46,669",0.93
10282,"40.717017, -74.015566","1,574",0.92
10018,"40.754969, -73.992126","4,255",0.8
10165,"40.752131, -73.978722",7,0.75
10036,"40.759614, -73.991148","18,751",0.74
10004,"40.691870, -74.014109","1,225",0.73
10006,"40.707970, -74.013610","1,447",0.67
10005,"40.705390, -74.008988",884,0.67
10007,"40.713973, -74.008336","3,522",0.59
10020,"40.758236, -73.978833",1,0
