,station,linename_x,entries,exits,total,Unnamed: 0,linename_y,zipcode,lat_long,population,f_m_ratio,avg_age,ratio_wealthy,Rich Women
1,103 ST,1,293324.0,150784.0,444108.0,1,1,10025,"40.797958, -73.964917",97086,1.14,36.9,0.0725,4012.0789499999996
2,103 ST,1,293324.0,150784.0,444108.0,3,BC,10025,"40.797958, -73.964917",97086,1.14,36.9,0.0725,4012.0789499999996
3,103 ST,6,296125.0,274602.0,570727.0,1,1,10025,"40.797958, -73.964917",97086,1.14,36.9,0.0725,4012.0789499999996
4,103 ST,6,296125.0,274602.0,570727.0,3,BC,10025,"40.797958, -73.964917",97086,1.14,36.9,0.0725,4012.0789499999996
5,103 ST,BC,119411.0,73867.0,193278.0,1,1,10025,"40.797958, -73.964917",97086,1.14,36.9,0.0725,4012.0789499999996
6,103 ST,BC,119411.0,73867.0,193278.0,3,BC,10025,"40.797958, -73.964917",97086,1.14,36.9,0.0725,4012.0789499999996
58,14 ST-UNION SQ,LNQR456W,1733708.0,1510138.0,3243846.0,27,456LNQRW,10003,"40.731856, -73.989145",53673,1.06,33.7,0.1091,3103.533879
59,14 ST-UNION SQ,LNQR456W,1733708.0,1510138.0,3243846.0,28,LNQR456W,10003,"40.731856, -73.989145",53673,1.06,33.7,0.1091,3103.533879
57,14 ST-UNION SQ,456LNQRW,740287.0,656391.0,1396678.0,28,LNQR456W,10003,"40.731856, -73.989145",53673,1.06,33.7,0.1091,3103.533879
56,14 ST-UNION SQ,456LNQRW,740287.0,656391.0,1396678.0,27,456LNQRW,10003,"40.731856, -73.989145",53673,1.06,33.7,0.1091,3103.533879
48,14 ST,ACEL,494263.0,413649.0,907912.0,26,FLM123,10011,"40.741844, -74.000711",46669,0.93,38.5,0.11019999999999999,2391.459567
49,14 ST,ACEL,494263.0,413649.0,907912.0,24,123FLM,10011,"40.741844, -74.000711",46669,0.93,38.5,0.11019999999999999,2391.459567
50,14 ST,FLM123,486461.0,557561.0,1044022.0,26,FLM123,10011,"40.741844, -74.000711",46669,0.93,38.5,0.11019999999999999,2391.459567
51,14 ST,FLM123,486461.0,557561.0,1044022.0,24,123FLM,10011,"40.741844, -74.000711",46669,0.93,38.5,0.11019999999999999,2391.459567
52,14TH STREET,1,190917.0,207883.0,398800.0,32,1,10011,"40.741844, -74.000711",46669,0.93,38.5,0.11019999999999999,2391.459567
47,14 ST,123FLM,554563.0,324695.0,879258.0,24,123FLM,10011,"40.741844, -74.000711",46669,0.93,38.5,0.11019999999999999,2391.459567
46,14 ST,123FLM,554563.0,324695.0,879258.0,26,FLM123,10011,"40.741844, -74.000711",46669,0.93,38.5,0.11019999999999999,2391.459567
54,14 ST,ACEL,494263.0,413649.0,907912.0,25,ACEL,10014,"40.733471, -74.007098",32667,0.94,37.2,0.1333,2046.6202169999997
53,14 ST,123FLM,554563.0,324695.0,879258.0,25,ACEL,10014,"40.733471, -74.007098",32667,0.94,37.2,0.1333,2046.6202169999997
55,14 ST,FLM123,486461.0,557561.0,1044022.0,25,ACEL,10014,"40.733471, -74.007098",32667,0.94,37.2,0.1333,2046.6202169999997
10,110 ST,6,245731.0,210946.0,456677.0,7,6,10029,"40.792245, -73.945230",75390,1.15,31.1,0.0198,858.31515
9,103 ST,BC,119411.0,73867.0,193278.0,2,6,10029,"40.792245, -73.945230",75390,1.15,31.1,0.0198,858.31515
8,103 ST,6,296125.0,274602.0,570727.0,2,6,10029,"40.792245, -73.945230",75390,1.15,31.1,0.0198,858.31515
7,103 ST,1,293324.0,150784.0,444108.0,2,6,10029,"40.792245, -73.945230",75390,1.15,31.1,0.0198,858.31515
0,1 AV,L,504631.0,555406.0,1060037.0,0,L,10009,"40.726622, -73.978955",58595,1.14,36.0,0.0222,741.4611299999999
36,125 ST,ACBD,674369.0,579269.0,1253638.0,19,ACBD,10027,"40.811407, -73.953564",56168,1.1,30.9,0.018500000000000003,571.5094000000001
31,125 ST,456,667268.0,605235.0,1272503.0,16,1,10027,"40.811407, -73.953564",56168,1.1,30.9,0.018500000000000003,571.5094000000001
34,125 ST,ACBD,674369.0,579269.0,1253638.0,16,1,10027,"40.811407, -73.953564",56168,1.1,30.9,0.018500000000000003,571.5094000000001
33,125 ST,456,667268.0,605235.0,1272503.0,19,ACBD,10027,"40.811407, -73.953564",56168,1.1,30.9,0.018500000000000003,571.5094000000001
32,125 ST,456,667268.0,605235.0,1272503.0,17,23,10027,"40.811407, -73.953564",56168,1.1,30.9,0.018500000000000003,571.5094000000001
35,125 ST,ACBD,674369.0,579269.0,1253638.0,17,23,10027,"40.811407, -73.953564",56168,1.1,30.9,0.018500000000000003,571.5094000000001
